Date,SPY
5/13/2016,195.9779
5/12/2016,197.7007
5/11/2016,197.6433
5/10/2016,199.5096
5/9/2016,197.0594
5/6/2016,196.8968
5/5/2016,196.1789
5/4/2016,196.2172
5/3/2016,197.3179
5/2/2016,199.0503
4/29/2016,197.4806
4/28/2016,198.5526
4/27/2016,200.3711
4/26/2016,199.9595
4/25/2016,199.6628
4/22/2016,200.0074
4/21/2016,200.0074
4/20/2016,201.0889
4/19/2016,200.8975
4/18/2016,200.2658
4/15/2016,198.8684
4/14/2016,199.0885
4/13/2016,199.0789
4/12/2016,197.0882
4/11/2016,195.2697
4/8/2016,195.7291
4/7/2016,195.2027
4/6/2016,197.5667
4/5/2016,195.4324
4/4/2016,197.404
4/1/2016,198.0453
3/31/2016,196.7053
3/30/2016,197.1839
3/29/2016,196.3225
3/28/2016,194.5231
3/24/2016,194.4083
3/23/2016,194.4944
3/22/2016,195.7865
3/21/2016,195.8918
3/18/2016,195.6142
3/17/2016,194.8489
3/16/2016,193.6206
3/15/2016,192.5065
3/14/2016,192.8207
3/11/2016,193.0683
3/10/2016,190.0022
3/9/2016,189.8499
3/8/2016,188.9167
3/7/2016,191.002
3/4/2016,190.8497
3/3/2016,190.2307
3/2/2016,189.488
3/1/2016,188.6405
2/29/2016,184.308
2/26/2016,185.7649
2/25/2016,186.1934
2/24/2016,183.9653
2/23/2016,183.1273
2/22/2016,185.4697
2/19/2016,182.8226
2/18/2016,182.9083
2/17/2016,183.6606
2/16/2016,180.7087
2/12/2016,177.7093
2/11/2016,174.1195
2/10/2016,176.4143
2/9/2016,176.5667
2/8/2016,176.5571
2/5/2016,178.9662
2/4/2016,182.4417
2/3/2016,182.1561
2/2/2016,181.0706
2/1/2016,184.3937
1/29/2016,184.4604
1/28/2016,180.0707
1/27/2016,179.1376
1/26/2016,181.1086
1/25/2016,178.671
1/22/2016,181.4134
1/21/2016,177.7664
1/20/2016,176.7761
1/19/2016,179.0709
1/15/2016,178.8329
1/14/2016,182.756
1/13/2016,179.8042
1/12/2016,184.4033
1/11/2016,182.9274
1/8/2016,182.7464
1/7/2016,184.7746
1/6/2016,189.3166
1/5/2016,191.7352
1/4/2016,191.4114
12/31/2015,194.1252
12/30/2015,196.0868
12/29/2015,197.4865
12/28/2015,195.4012
